# file...... Gen_1_Speed.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... diesel_dg 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2000-01-01 00:00:00 EST,+376.991118431,+0.400724729501,+0.952131288911,-0.368537022903,+0.309780265191+0.97867140109j,+0.353212461098+0.969682008255j,+0+0i,+0+0i,+0+0i,+0.428066325465+0.373769800104j,+3580255.83625,+1728432.99965,+3595479.13584,+9537.30462089,+9537.30462089
2000-01-01 00:00:01.000000 EST,+376.991118423,+0.400724613737,+0.952131331829,-0.368536906,+0.309780166774+0.978671440938j,+0.353212349309+0.969682049143j,+2473.00066639+127.240635478j,-1126.30671048-2205.30171841j,-1346.69395591+2078.06108293j,+0.42806627609+0.373769686074j,+3580256.12904,+1728432.87049,+3595477.97505,+9537.30154199,+9537.30163833
2000-01-01 00:00:01.010000 EST,+376.923755508,+0.400406220991,+0.951823278128,-0.3695331538,+0.310000360877+0.978594097073j,+0.354748165001+0.969526561624j,+2474.13391631+122.914161316j,-1130.62017197-2204.11990454j,-1343.51374434+2081.20574323j,+0.439362680271+0.387754856567j,+3706221.46074,+1745351.41998,+3619728.62965,+9603.34438134,+9875.09118869
2000-01-01 00:00:01.020000 EST,+376.880844158,+0.399481567747,+0.951788587099,-0.370190994982,+0.31022339203+0.979116069217j,+0.35506019383+0.969859986564j,+2475.27476202+120.247809972j,-1133.49972282-2203.77473024j,-1341.77503919+2083.52692027j,+0.439306042882+0.387686573143j,+3706466.2921,+1745087.23792,+3659837.38111,+9710.86070794,+9877.80795434
2000-01-01 00:00:01.030000 EST,+376.857500658,+0.398224629056,+0.951883398499,-0.370661932644,+0.310447500849+0.979304879244j,+0.355330416753+0.970016958347j,+2476.02256182+116.684849809j,-1136.95923674-2202.64086379j,-1339.06332508+2085.95601398j,+0.439262173411+0.387594063671j,+3706806.56793,+1744629.21249,+3687826.26592,+9785.73136922,+9879.46767867
2000-01-01 00:00:01.040000 EST,+376.844704754,+0.396801922688,+0.951908006143,-0.371023099913,+0.310669441132+0.979140135897j,+0.355574766364+0.969916350013j,+2476.19000589+112.528029541j,-1140.64287073-2200.70746447j,-1335.54713517+2088.17943493j,+0.439386089059+0.387497956579j,+3707004.06535,+1744361.14963,+3701006.44714,+9821.03874739,+9880.00745821
2000-01-01 00:00:01.050000 EST,+376.835734249,+0.395283433774,+0.95181190966,-0.371318707444,+0.310887417697+0.978849424821j,+0.355801689651+0.969691556783j,+2476.06990137+108.05762596j,-1144.45430153-2198.36824912j,-1331.61559984+2090.31062316j,+0.439606087356+0.387401095508j,+3706966.32036,+1744445.21934,+3704924.90596,+9831.67085612,+9879.9191827
2000-01-01 00:00:01.060000 EST,+376.827330057,+0.393685153443,+0.951666441138,-0.371574302341,+0.311100504705+0.978675761523j,+0.356016358117+0.969527443328j,+2476.07336964+103.473295609j,-1148.42618221-2196.07908754j,-1327.64718743+2092.60579193j,+0.439788106212+0.387307601316j,+3706807.88717,+1744709.64256,+3705057.3215,+9832.24152277,+9879.84066765
2000-01-01 00:00:01.070000 EST,+376.818547587,+0.392003393799,+0.951560979103,-0.371804710655,+0.311308285473+0.97868158542j,+0.35622182395+0.969495573603j,+2476.36156477+98.8241644611j,-1152.59654545-2194.00410628j,-1323.76501932+2095.17994181j,+0.439866848342+0.387219335872j,+3706705.76018,+1744884.88444,+3704558.38967,+9831.14661791,+9880.08098983
2000-01-01 00:00:01.080000 EST,+376.80949682,+0.390232539941,+0.951520912655,-0.37201847215,+0.311510612091+0.978755282597j,+0.356419760391+0.969530737939j,+2476.791387+94.0315979236j,-1156.96194094-2191.98005998j,-1319.82944606+2097.94846205j,+0.43988266744+0.387135458563j,+3706728.50845,+1744864.78006,+3704605.20563,+9831.50699993,+9880.53172969
