# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,TRUE,+60,+2319.75538776,-213.539105597,-1348.19062832,-2196.55183355,-991.488087342,+2125.20283841
2000-01-01 00:00:01.000000 EST,TRUE,+60,+2319.75540216,-213.539103627,-1348.19061613,-2196.55185164,-991.487978176,+2125.20289158
2000-01-01 00:00:01.010000 EST,TRUE,+60.0000000058,+2294.61632219,-223.562154468,-1378.16885581,-2214.06233522,-975.473659127,+2118.26185917
2000-01-01 00:00:01.020000 EST,TRUE,+59.9912051473,+2294.89117316,-225.984566437,-1380.76182215,-2212.94875328,-973.476486691,+2119.75305193
2000-01-01 00:00:01.030000 EST,TRUE,+59.9895347555,+2295.07544958,-229.366536312,-1384.28128578,-2211.27356606,-970.598195065,+2121.65650988
2000-01-01 00:00:01.040000 EST,TRUE,+59.9872898299,+2294.5489259,-233.328922894,-1388.03453988,-2208.77246149,-966.870243701,+2123.21123219
2000-01-01 00:00:01.050000 EST,TRUE,+59.9847198976,+2293.61116846,-237.573526192,-1391.86938954,-2205.82013935,-962.697873912,+2124.536727
2000-01-01 00:00:01.060000 EST,TRUE,+59.9820505464,+2292.7884034,-241.883008778,-1395.82737197,-2202.91889836,-958.524124215,+2126.00128883
2000-01-01 00:00:01.070000 EST,TRUE,+59.9794625841,+2292.33348696,-246.195884857,-1399.97134136,-2200.28746059,-954.52415414,+2127.80387555
2000-01-01 00:00:01.080000 EST,TRUE,+59.9770220059,+2292.08623831,-250.603129447,-1404.3136137,-2197.75789136,-950.541036139,+2129.84490222
2000-01-01 00:00:01.090000 EST,TRUE,+59.9746735851,+2291.73210948,-255.234025152,-1408.82925523,-2195.0274388,-946.31015797,+2131.90372746
2000-01-01 00:00:01.100000 EST,TRUE,+59.9723263753,+2291.12178405,-260.138957865,-1413.49564766,-2191.95802536,-941.715573286,+2133.87008346
2000-01-01 00:00:01.110000 EST,TRUE,+59.9699469099,+2290.35222341,-265.268325429,-1418.31073856,-2188.64787442,-936.847398116,+2135.80708576
2000-01-01 00:00:01.120000 EST,TRUE,+59.967579172,+2289.60682892,-270.539820213,-1423.28174189,-2185.27700916,-931.865934145,+2137.83984762
2000-01-01 00:00:01.130000 EST,TRUE,+59.9652935759,+2288.9666865,-275.911379577,-1428.40585795,-2181.92798169,-926.846983519,+2140.02073509
2000-01-01 00:00:01.140000 EST,TRUE,+59.9631285919,+2288.36870431,-281.395769741,-1433.6647631,-2178.54681208,-921.748985765,+2142.29874159
2000-01-01 00:00:01.150000 EST,TRUE,+59.961077358,+2287.70449263,-287.022533898,-1439.03503866,-2175.03676046,-916.493924999,+2144.59019757
