# file...... triplex_load_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_load 35
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag
2000-01-01 00:00:00 EST,TRUE,+60,-67.3559209343,-109.735846186,-67.3559209343,-109.735846186
2000-01-01 00:00:01.000000 EST,TRUE,+60,-67.3559203247,-109.73584709,-67.3559203247,-109.73584709
2000-01-01 00:00:01.010000 EST,TRUE,+59.9999999969,-68.853702143,-110.610867744,-68.853702143,-110.610867744
2000-01-01 00:00:01.020000 EST,TRUE,+59.9899985039,-68.9832436763,-110.555235973,-68.9832436763,-110.555235973
2000-01-01 00:00:01.030000 EST,TRUE,+59.9882962827,-69.1590717055,-110.471546199,-69.1590717055,-110.471546199
2000-01-01 00:00:01.040000 EST,TRUE,+59.9860337572,-69.3465773951,-110.346589722,-69.3465773951,-110.346589722
2000-01-01 00:00:01.050000 EST,TRUE,+59.9834902871,-69.5381582081,-110.199088194,-69.5381582081,-110.199088194
2000-01-01 00:00:01.060000 EST,TRUE,+59.9808765068,-69.7358909982,-110.054139418,-69.7358909982,-110.054139418
2000-01-01 00:00:01.070000 EST,TRUE,+59.9783474158,-69.9429167135,-109.92267218,-69.9429167135,-109.92267218
2000-01-01 00:00:01.080000 EST,TRUE,+59.9759555747,-70.1598501089,-109.796295587,-70.1598501089,-109.796295587
2000-01-01 00:00:01.090000 EST,TRUE,+59.9736513745,-70.3854444672,-109.659882423,-70.3854444672,-109.659882423
2000-01-01 00:00:01.100000 EST,TRUE,+59.9713568625,-70.6185693032,-109.506533517,-70.6185693032,-109.506533517
2000-01-01 00:00:01.110000 EST,TRUE,+59.9690443443,-70.8591224087,-109.341156653,-70.8591224087,-109.341156653
2000-01-01 00:00:01.120000 EST,TRUE,+59.9667525309,-71.1074648132,-109.1727468,-71.1074648132,-109.1727468
2000-01-01 00:00:01.130000 EST,TRUE,+59.9645426397,-71.3634569311,-109.005428706,-71.3634569311,-109.005428706
2000-01-01 00:00:01.140000 EST,TRUE,+59.9624485491,-71.6261831254,-108.836505185,-71.6261831254,-108.836505185
2000-01-01 00:00:01.150000 EST,TRUE,+59.9604653685,-71.8944730573,-108.661142521,-71.8944730573,-108.661142521
2000-01-01 00:00:01.160000 EST,TRUE,+59.9585745995,-72.1675620315,-108.477553951,-72.1675620315,-108.477553951
2000-01-01 00:00:01.170000 EST,TRUE,+59.9567723748,-72.4452230597,-108.287922297,-72.4452230597,-108.287922297
2000-01-01 00:00:01.180000 EST,TRUE,+59.9550751008,-72.727420183,-108.09550506,-72.727420183,-108.09550506
2000-01-01 00:00:01.190000 EST,TRUE,+59.9535039375,-73.013894241,-107.90162672,-73.013894241,-107.90162672
2000-01-01 00:00:01.200000 EST,TRUE,+59.9520684931,-73.3040803294,-107.705271275,-73.3040803294,-107.705271275
2000-01-01 00:00:01.210000 EST,TRUE,+59.9507644631,-73.5973396298,-107.504871921,-73.5973396298,-107.504871921
2000-01-01 00:00:01.220000 EST,TRUE,+59.9495833037,-73.8932121027,-107.300056831,-73.8932121027,-107.300056831
2000-01-01 00:00:01.230000 EST,TRUE,+59.9485218428,-74.1914563655,-107.091810094,-74.1914563655,-107.091810094
2000-01-01 00:00:01.240000 EST,TRUE,+59.9475833531,-74.4918975022,-106.881372272,-74.4918975022,-106.881372272
2000-01-01 00:00:01.250000 EST,TRUE,+59.9467717128,-74.7942711211,-106.669231119,-74.7942711211,-106.669231119
2000-01-01 00:00:01.260000 EST,TRUE,+59.9460859606,-75.0982047472,-106.455074225,-75.0982047472,-106.455074225
2000-01-01 00:00:01.270000 EST,TRUE,+59.9455200517,-75.4033186794,-106.238461333,-75.4033186794,-106.238461333
2000-01-01 00:00:01.280000 EST,TRUE,+59.9450665477,-75.7093093103,-106.019407491,-75.7093093103,-106.019407491
2000-01-01 00:00:01.290000 EST,TRUE,+59.9447200178,-76.0159711814,-105.798384114,-76.0159711814,-105.798384114
2000-01-01 00:00:01.300000 EST,TRUE,+59.9444770136,-76.3231222275,-105.575907501,-76.3231222275,-105.575907501
2000-01-01 00:00:01.310000 EST,TRUE,+59.9443340215,-76.630545557,-105.352204962,-76.630545557,-105.352204962
2000-01-01 00:00:01.320000 EST,TRUE,+59.9442857015,-76.9379986309,-105.12722946,-76.9379986309,-105.12722946
2000-01-01 00:00:01.330000 EST,TRUE,+59.9443249056,-77.2452365308,-104.900912111,-77.2452365308,-104.900912111
2000-01-01 00:00:01.340000 EST,TRUE,+59.9444442978,-77.5520587419,-104.673353812,-77.5520587419,-104.673353812
2000-01-01 00:00:01.350000 EST,TRUE,+59.9446373594,-77.858300961,-104.444805888,-77.858300961,-104.444805888
2000-01-01 00:00:01.360000 EST,TRUE,+59.9448984252,-78.1638188638,-104.215517557,-78.1638188638,-104.215517557
2000-01-01 00:00:01.370000 EST,FALSE,+59.9452218034,-78.4679444001,-104.007481225,-78.4679444001,-104.007481225
2000-01-01 00:00:01.380000 EST,FALSE,+59.9457671229,-78.7710943964,-103.777190334,-78.7710943964,-103.777190334
2000-01-01 00:00:01.390000 EST,FALSE,+59.9462023362,-79.0728673616,-103.546493845,-79.0728673616,-103.546493845
2000-01-01 00:00:01.400000 EST,FALSE,+59.9466816545,-79.3732898434,-103.315643511,-79.3732898434,-103.315643511
2000-01-01 00:00:01.410000 EST,FALSE,+59.9471989221,-79.6722698919,-103.084707682,-79.6722698919,-103.084707682
2000-01-01 00:00:01.420000 EST,FALSE,+59.9477481203,-79.9696666254,-102.853648915,-79.9696666254,-102.853648915
2000-01-01 00:00:01.430000 EST,FALSE,+59.9483232681,-80.2653462744,-102.622460525,-80.2653462744,-102.622460525
2000-01-01 00:00:01.440000 EST,FALSE,+59.948918915,-80.5591975276,-102.391247418,-80.5591975276,-102.391247418
2000-01-01 00:00:01.450000 EST,FALSE,+59.9495306301,-80.8511448915,-102.160184647,-80.8511448915,-102.160184647
2000-01-01 00:00:01.460000 EST,FALSE,+59.9501545923,-81.1411163532,-101.929421461,-81.1411163532,-101.929421461
2000-01-01 00:00:01.470000 EST,FALSE,+59.9507871845,-81.4290327334,-101.6990317,-81.4290327334,-101.6990317
2000-01-01 00:00:01.480000 EST,FALSE,+59.9514247091,-81.7148114706,-101.469041956,-81.7148114706,-101.469041956
2000-01-01 00:00:01.490000 EST,FALSE,+59.9520635512,-81.9983783964,-101.23948974,-81.9983783964,-101.23948974
2000-01-01 00:00:01.500000 EST,FALSE,+59.9527005027,-82.2796740385,-101.010451589,-82.2796740385,-101.010451589
2000-01-01 00:00:01.510000 EST,FALSE,+59.9533329174,-82.5586498625,-100.78202533,-82.5586498625,-100.78202533
2000-01-01 00:00:01.520000 EST,FALSE,+59.9539586077,-82.835260344,-100.554295957,-82.835260344,-100.554295957
2000-01-01 00:00:01.530000 EST,FALSE,+59.9545756447,-83.1094589431,-100.327320361,-83.1094589431,-100.327320361
2000-01-01 00:00:01.540000 EST,FALSE,+59.9551822596,-83.38120033,-100.101138972,-83.38120033,-100.101138972
2000-01-01 00:00:01.550000 EST,FALSE,+59.9557768925,-83.6504449044,-99.8757960277,-83.6504449044,-99.8757960277
2000-01-01 00:00:01.560000 EST,FALSE,+59.9563582903,-83.9171607491,-99.6513479714,-83.9171607491,-99.6513479714
