# file...... triplex_main_power.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_meter 28
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power
2000-01-01 00:00:00 EST,+514.23548999+13.495460524d
2000-01-01 00:00:01.000000 EST,+514.23548879+13.4954642378d
2000-01-01 00:00:01.010000 EST,+514.234624762+13.4954637973d
2000-01-01 00:00:01.020000 EST,+514.234604056+13.4954839227d
2000-01-01 00:00:01.030000 EST,+514.234599738+13.4954648448d
2000-01-01 00:00:01.040000 EST,+514.234603643+13.4954635859d
2000-01-01 00:00:01.050000 EST,+514.234616538+13.4954628034d
2000-01-01 00:00:01.060000 EST,+514.234626014+13.4954624303d
2000-01-01 00:00:01.070000 EST,+514.234626097+13.4954622558d
2000-01-01 00:00:01.080000 EST,+514.23462061+13.4954620326d
2000-01-01 00:00:01.090000 EST,+514.234617024+13.4954616377d
2000-01-01 00:00:01.100000 EST,+514.234618818+13.4954611348d
2000-01-01 00:00:01.110000 EST,+514.234623635+13.4954606638d
2000-01-01 00:00:01.120000 EST,+514.234627094+13.4954603063d
2000-01-01 00:00:01.130000 EST,+514.234627314+13.4954600322d
2000-01-01 00:00:01.140000 EST,+514.234625833+13.4954597633d
2000-01-01 00:00:01.150000 EST,+514.234625236+13.4954594569d
2000-01-01 00:00:01.160000 EST,+514.234626536+13.4954591336d
2000-01-01 00:00:01.170000 EST,+514.234628742+13.4954588381d
2000-01-01 00:00:01.180000 EST,+514.234630328+13.4954585944d
2000-01-01 00:00:01.190000 EST,+514.234630748+13.4954583868d
2000-01-01 00:00:01.200000 EST,+514.234630634+13.4954581878d
2000-01-01 00:00:01.210000 EST,+514.23463089+13.4954579829d
2000-01-01 00:00:01.220000 EST,+514.234631807+13.4954577806d
2000-01-01 00:00:01.230000 EST,+514.234632983+13.4954575985d
2000-01-01 00:00:01.240000 EST,+514.234633888+13.4954574421d
2000-01-01 00:00:01.250000 EST,+514.234634371+13.4954573051d
2000-01-01 00:00:01.260000 EST,+514.234634687+13.4954571774d
2000-01-01 00:00:01.270000 EST,+514.234635148+13.4954570547d
2000-01-01 00:00:01.280000 EST,+514.234635826+13.4954569398d
2000-01-01 00:00:01.290000 EST,+514.234636566+13.4954568389d
2000-01-01 00:00:01.300000 EST,+514.23463719+13.4954567533d
2000-01-01 00:00:01.310000 EST,+514.234637654+13.4954566797d
2000-01-01 00:00:01.320000 EST,+514.234638058+13.4954566154d
2000-01-01 00:00:01.330000 EST,+514.234638511+13.4954565589d
2000-01-01 00:00:01.340000 EST,+514.234639036+13.4954565104d
2000-01-01 00:00:01.350000 EST,+514.234639559+13.4954564711d
2000-01-01 00:00:01.360000 EST,+514.234640031+13.4954564428d
2000-01-01 00:00:01.370000 EST,+2.51269795786e-09-135.705664446d
2000-01-01 00:00:01.380000 EST,+3.97290269162e-10+152.561872963d
2000-01-01 00:00:01.390000 EST,+1.25633486113e-09-136.040113307d
2000-01-01 00:00:01.400000 EST,+1.12369494589e-09+107.228228906d
2000-01-01 00:00:01.410000 EST,+1.63804723757e-09-41.9741400454d
2000-01-01 00:00:01.420000 EST,+5.61843771336e-10-73.1035024749d
2000-01-01 00:00:01.430000 EST,+3.97282049728e-10-28.2685454089d
2000-01-01 00:00:01.440000 EST,+2.13942013696e-09+83.3684493681d
2000-01-01 00:00:01.450000 EST,+1.63802190916e-09+75.4395688977d
2000-01-01 00:00:01.460000 EST,+1.63801582926e-09+47.2041319128d
